a_mm;b_mm;c_mm;t_mm;n1;n2;a_ratio;b_ratio;c_ratio;V_outer_mm3
127.33;127.33;636.63;1.71;0.75;0.8;1;1;5;60449600
127.8;127.8;639.02;1.717;0.7;1;1;1;5;60449600
127.86;127.86;639.32;1.718;0.8;0.7;1;1;5;60449600
127.93;127.93;639.67;1.719;0.75;0.85;1;1;5;60449600
128.53;128.53;642.65;1.727;0.8;0.75;1;1;5;60449600
128.53;128.53;642.66;1.727;0.75;0.9;1;1;5;60449600
129.12;129.12;645.62;1.735;0.75;0.95;1;1;5;60449600
129.19;129.19;645.93;1.735;0.8;0.8;1;1;5;60449600
129.19;645.93;129.19;1.735;0.8;0.8;1;5;1;60449600
129.71;129.71;648.54;1.742;0.75;1;1;1;5;60449600
129.76;129.76;648.79;1.743;0.85;0.7;1;1;5;60449600
129.83;129.83;649.17;1.744;0.8;0.85;1;1;5;60449600
130.46;130.46;652.32;1.753;0.85;0.75;1;1;5;60449600
130.47;130.47;652.37;1.753;0.8;0.9;1;1;5;60449600
131.1;131.1;655.52;1.761;0.8;0.95;1;1;5;60449600
131.16;131.16;655.81;1.762;0.85;0.8;1;1;5;60449600
131.73;131.73;658.63;1.769;0.8;1;1;1;5;60449600
131.76;131.76;658.82;1.77;0.9;0.7;1;1;5;60449600
131.85;131.85;659.25;1.771;0.85;0.85;1;1;5;60449600
132.51;132.51;662.56;1.78;0.9;0.75;1;1;5;60449600
132.53;132.53;662.65;1.78;0.85;0.9;1;1;5;60449600
133.2;133.2;666;1.789;0.85;0.95;1;1;5;60449600
133.25;133.25;666.26;1.79;0.9;0.8;1;1;5;60449600
133.86;133.86;669.32;1.798;0.85;1;1;1;5;60449600
133.89;133.89;669.43;1.799;0.95;0.7;1;1;5;60449600
133.98;133.98;669.91;1.8;0.9;0.85;1;1;5;60449600
134.42;134.42;672.12;1.806;1;0.6;1;1;5;60449600
134.68;134.68;673.39;1.809;0.95;0.75;1;1;5;60449600
134.7;134.7;673.51;1.809;0.9;0.9;1;1;5;60449600
135.28;135.28;676.4;1.817;1;0.65;1;1;5;60449600
135.41;135.41;677.07;1.819;0.9;0.95;1;1;5;60449600
135.46;135.46;677.3;1.82;0.95;0.8;1;1;5;60449600
135.81;135.81;407.44;1.719;0.4;0.4;1;1;3;60449600
135.81;407.44;135.81;1.719;0.4;0.4;1;3;1;60449600
136.12;136.12;680.59;1.828;0.9;1;1;1;5;60449600
136.13;136.13;680.63;1.829;1;0.7;1;1;5;60449600
136.23;136.23;681.16;1.83;0.95;0.85;1;1;5;60449600
136.96;136.96;684.81;1.84;1;0.75;1;1;5;60449600
136.99;136.99;684.97;1.84;0.95;0.9;1;1;5;60449600
137.62;137.62;412.85;1.742;0.4;0.6;1;1;3;60449600
137.75;137.75;688.74;1.85;0.95;0.95;1;1;5;60449600
137.79;137.79;688.93;1.851;1;0.8;1;1;5;60449600
138.49;138.49;692.47;1.86;0.95;1;1;1;5;60449600
138.6;138.6;693.01;1.862;1;0.85;1;1;5;60449600
139.28;139.28;417.85;1.763;0.4;0.8;1;1;3;60449600
139.34;232.24;232.24;1.87;0.4;0.4;3;5;5;60449600
139.41;139.41;697.04;1.873;1;0.9;1;1;5;60449600
140.14;140.14;420.42;1.774;0.6;0.4;1;1;3;60449600
140.2;140.2;701.02;1.883;1;0.95;1;1;5;60449600
140.84;140.84;422.51;1.783;0.4;1;1;1;3;60449600
140.99;140.99;704.96;1.894;1;1;1;1;5;60449600
140.99;704.96;140.99;1.894;1;1;1;5;1;60449600
142.73;142.73;428.19;1.807;0.6;0.6;1;1;3;60449600
142.73;428.19;142.73;1.807;0.6;0.6;1;3;1;60449600
143.35;143.35;430.05;1.815;0.6;0.65;1;1;3;60449600
143.96;143.96;431.87;1.822;0.6;0.7;1;1;3;60449600
144.35;144.35;433.04;1.827;0.65;0.6;1;1;3;60449600
144.56;144.56;433.67;1.83;0.6;0.75;1;1;3;60449600
145.01;145.01;435.04;1.836;0.65;0.65;1;1;3;60449600
145.15;145.15;435.44;1.837;0.6;0.8;1;1;3;60449600
145.67;145.67;437.01;1.844;0.65;0.7;1;1;3;60449600
145.73;145.73;437.19;1.845;0.6;0.85;1;1;3;60449600
146.09;146.09;438.28;1.849;0.7;0.6;1;1;3;60449600
146.3;146.3;438.9;1.852;0.6;0.9;1;1;3;60449600
146.32;146.32;438.95;1.852;0.65;0.75;1;1;3;60449600
146.44;244.06;244.06;1.965;0.6;0.6;3;5;5;60449600
146.61;146.61;439.84;1.856;0.8;0.4;1;1;3;60449600
146.81;146.81;440.43;1.858;0.7;0.65;1;1;3;60449600
146.87;146.87;440.6;1.859;0.6;0.95;1;1;3;60449600
146.95;146.95;440.86;1.86;0.65;0.8;1;1;3;60449600
147.42;147.42;442.26;1.866;0.6;1;1;1;3;60449600
147.51;147.51;442.54;1.867;0.7;0.7;1;1;3;60449600
147.58;147.58;442.74;1.868;0.65;0.85;1;1;3;60449600
147.97;147.97;443.92;1.873;0.75;0.6;1;1;3;60449600
148.2;148.2;444.59;1.876;0.65;0.9;1;1;3;60449600
148.21;148.21;444.62;1.876;0.7;0.75;1;1;3;60449600
148.74;148.74;446.21;1.883;0.75;0.65;1;1;3;60449600
148.81;148.81;446.42;1.884;0.65;0.95;1;1;3;60449600
148.89;148.89;446.67;1.885;0.7;0.8;1;1;3;60449600
149.41;149.41;448.22;1.891;0.65;1;1;1;3;60449600
149.49;149.49;448.47;1.892;0.75;0.7;1;1;3;60449600
149.56;149.56;448.69;1.893;0.7;0.85;1;1;3;60449600
149.99;149.99;449.96;1.899;0.8;0.6;1;1;3;60449600
150.23;150.23;450.68;1.902;0.7;0.9;1;1;3;60449600
150.23;150.23;450.69;1.902;0.75;0.75;1;1;3;60449600
150.8;150.8;452.4;1.909;0.8;0.65;1;1;3;60449600
150.88;150.88;452.65;1.91;0.7;0.95;1;1;3;60449600
150.96;150.96;452.88;1.911;0.75;0.8;1;1;3;60449600
151.53;151.53;454.58;1.918;0.7;1;1;1;3;60449600
151.6;151.6;454.8;1.919;0.8;0.7;1;1;3;60449600
151.68;151.68;455.05;1.92;0.75;0.85;1;1;3;60449600
152.13;152.13;456.4;1.926;0.85;0.6;1;1;3;60449600
152.39;152.39;457.17;1.929;0.8;0.75;1;1;3;60449600
152.39;152.39;457.18;1.929;0.75;0.9;1;1;3;60449600
152.99;152.99;458.98;1.937;0.85;0.65;1;1;3;60449600
153.09;153.09;459.28;1.938;0.75;0.95;1;1;3;60449600
153.17;153.17;459.5;1.939;0.8;0.8;1;1;3;60449600
153.17;459.5;153.17;1.939;0.8;0.8;1;3;1;60449600
153.78;153.78;461.35;1.947;0.75;1;1;1;3;60449600
153.84;153.84;461.53;1.948;0.85;0.7;1;1;3;60449600
153.94;153.94;461.81;1.949;0.8;0.85;1;1;3;60449600
154.41;154.41;463.24;1.955;0.9;0.6;1;1;3;60449600
154.68;154.68;464.05;1.958;0.85;0.75;1;1;3;60449600
154.69;154.69;464.08;1.958;0.8;0.9;1;1;3;60449600
155.18;155.18;465.54;1.964;1;0.4;1;1;3;60449600
155.32;155.32;465.97;1.966;0.9;0.65;1;1;3;60449600
155.44;155.44;466.32;1.968;0.8;0.95;1;1;3;60449600
155.51;155.51;466.53;1.969;0.85;0.8;1;1;3;60449600
156.18;156.18;468.54;1.977;0.8;1;1;1;3;60449600
156.22;156.22;468.67;1.978;0.9;0.7;1;1;3;60449600
156.33;156.33;468.98;1.979;0.85;0.85;1;1;3;60449600
156.83;156.83;470.48;1.985;0.95;0.6;1;1;3;60449600
157.11;157.11;471.33;1.989;0.9;0.75;1;1;3;60449600
157.13;157.13;471.39;1.989;0.85;0.9;1;1;3;60449600
157.15;261.91;261.91;2.109;0.8;0.8;3;5;5;60449600
157.79;157.79;473.37;1.997;0.95;0.65;1;1;3;60449600
157.93;157.93;473.78;1.999;0.85;0.95;1;1;3;60449600
157.99;157.99;473.96;2;0.9;0.8;1;1;3;60449600
158.71;158.71;476.14;2.009;0.85;1;1;1;3;60449600
158.74;158.74;476.22;2.01;0.95;0.7;1;1;3;60449600
158.85;158.85;476.56;2.011;0.9;0.85;1;1;3;60449600
159.38;159.38;478.13;2.018;1;0.6;1;1;3;60449600
159.68;159.68;479.04;2.021;0.95;0.75;1;1;3;60449600
159.71;159.71;479.12;2.022;0.9;0.9;1;1;3;60449600
160.39;160.39;481.18;2.03;1;0.65;1;1;3;60449600
160.55;160.55;481.66;2.032;0.9;0.95;1;1;3;60449600
160.61;160.61;481.82;2.033;0.95;0.8;1;1;3;60449600
161.39;161.39;484.16;2.043;0.9;1;1;1;3;60449600
161.4;161.4;484.19;2.043;1;0.7;1;1;3;60449600
161.52;161.52;484.56;2.045;0.95;0.85;1;1;3;60449600
162.39;162.39;487.16;2.056;1;0.75;1;1;3;60449600
162.43;162.43;487.28;2.056;0.95;0.9;1;1;3;60449600
163.32;163.32;489.96;2.067;0.95;0.95;1;1;3;60449600
163.36;163.36;490.09;2.068;1;0.8;1;1;3;60449600
164.2;164.2;492.61;2.079;0.95;1;1;1;3;60449600
164.33;164.33;492.99;2.08;1;0.85;1;1;3;60449600
165.21;165.21;275.35;1.876;0.4;0.4;3;3;5;60449600
165.21;275.35;165.21;1.876;0.4;0.4;3;5;3;60449600
165.29;165.29;495.86;2.092;1;0.9;1;1;3;60449600
166.23;166.23;498.69;2.104;1;0.95;1;1;3;60449600
167.16;167.16;501.49;2.116;1;1;1;1;3;60449600
167.16;501.49;167.16;2.116;1;1;1;3;1;60449600
171.51;285.85;285.85;2.302;1;1;3;5;5;60449600
173.62;173.62;289.37;1.971;0.6;0.6;3;3;5;60449600
173.62;289.37;173.62;1.971;0.6;0.6;3;5;3;60449600
186.32;186.32;310.53;2.116;0.8;0.8;3;3;5;60449600
186.32;310.53;186.32;2.116;0.8;0.8;3;5;3;60449600
195.87;195.87;195.87;1.927;0.4;0.4;1;1;1;60449600
198.48;198.48;198.48;1.953;0.4;0.6;1;1;1;60449600
200.88;200.88;200.88;1.976;0.4;0.8;1;1;1;60449600
202.12;202.12;202.12;1.988;0.6;0.4;1;1;1;60449600
203.12;203.12;203.12;1.998;0.4;1;1;1;1;60449600
203.35;203.35;338.91;2.309;1;1;3;3;5;60449600
203.35;338.91;203.35;2.309;1;1;3;5;3;60449600
205.85;205.85;205.85;2.025;0.6;0.6;1;1;1;60449600
206.74;206.74;206.74;2.034;0.6;0.65;1;1;1;60449600
207.62;207.62;207.62;2.043;0.6;0.7;1;1;1;60449600
208.18;208.18;208.18;2.048;0.65;0.6;1;1;1;60449600
208.49;208.49;208.49;2.051;0.6;0.75;1;1;1;60449600
209.14;209.14;209.14;2.058;0.65;0.65;1;1;1;60449600
209.34;209.34;209.34;2.06;0.6;0.8;1;1;1;60449600
210.09;210.09;210.09;2.067;0.65;0.7;1;1;1;60449600
210.18;210.18;210.18;2.068;0.6;0.85;1;1;1;60449600
210.7;210.7;210.7;2.073;0.7;0.6;1;1;1;60449600
211;211;211;2.076;0.6;0.9;1;1;1;60449600
211.02;211.02;211.02;2.076;0.65;0.75;1;1;1;60449600
211.45;211.45;211.45;2.08;0.8;0.4;1;1;1;60449600
211.73;211.73;211.73;2.083;0.7;0.65;1;1;1;60449600
211.82;211.82;211.82;2.084;0.6;0.95;1;1;1;60449600
211.94;211.94;211.94;2.085;0.65;0.8;1;1;1;60449600
212.62;212.62;212.62;2.092;0.6;1;1;1;1;60449600
212.75;212.75;212.75;2.093;0.7;0.7;1;1;1;60449600
212.85;212.85;212.85;2.094;0.65;0.85;1;1;1;60449600
213.42;213.42;213.42;2.1;0.75;0.6;1;1;1;60449600
213.74;213.74;213.74;2.103;0.65;0.9;1;1;1;60449600
213.75;213.75;213.75;2.103;0.7;0.75;1;1;1;60449600
214.52;214.52;214.52;2.11;0.75;0.65;1;1;1;60449600
214.62;214.62;214.62;2.111;0.65;0.95;1;1;1;60449600
214.74;214.74;214.74;2.113;0.7;0.8;1;1;1;60449600
215.48;215.48;215.48;2.12;0.65;1;1;1;1;60449600
215.6;215.6;215.6;2.121;0.75;0.7;1;1;1;60449600
215.71;215.71;215.71;2.122;0.7;0.85;1;1;1;60449600
216.32;216.32;216.32;2.128;0.8;0.6;1;1;1;60449600
216.67;216.67;216.67;2.132;0.7;0.9;1;1;1;60449600
216.67;216.67;216.67;2.132;0.75;0.75;1;1;1;60449600
217.49;217.49;217.49;2.14;0.8;0.65;1;1;1;60449600
217.61;217.61;217.61;2.141;0.7;0.95;1;1;1;60449600
217.72;217.72;217.72;2.142;0.75;0.8;1;1;1;60449600
218.54;218.54;218.54;2.15;0.7;1;1;1;1;60449600
218.64;218.64;218.64;2.151;0.8;0.7;1;1;1;60449600
218.76;218.76;218.76;2.152;0.75;0.85;1;1;1;60449600
219.41;219.41;219.41;2.159;0.85;0.6;1;1;1;60449600
219.78;219.78;219.78;2.162;0.8;0.75;1;1;1;60449600
219.79;219.79;219.79;2.162;0.75;0.9;1;1;1;60449600
220.66;220.66;220.66;2.171;0.85;0.65;1;1;1;60449600
220.8;220.8;220.8;2.172;0.75;0.95;1;1;1;60449600
220.91;220.91;220.91;2.173;0.8;0.8;1;1;1;60449600
221.8;221.8;221.8;2.182;0.75;1;1;1;1;60449600
221.88;221.88;221.88;2.183;0.85;0.7;1;1;1;60449600
222.01;222.01;222.01;2.184;0.8;0.85;1;1;1;60449600
222.7;222.7;222.7;2.191;0.9;0.6;1;1;1;60449600
223.09;223.09;223.09;2.195;0.85;0.75;1;1;1;60449600
223.11;223.11;223.11;2.195;0.8;0.9;1;1;1;60449600
223.81;223.81;223.81;2.202;1;0.4;1;1;1;60449600
224.02;224.02;224.02;2.204;0.9;0.65;1;1;1;60449600
224.18;224.18;224.18;2.206;0.8;0.95;1;1;1;60449600
224.28;224.28;224.28;2.207;0.85;0.8;1;1;1;60449600
225.25;225.25;225.25;2.216;0.8;1;1;1;1;60449600
225.31;225.31;225.31;2.217;0.9;0.7;1;1;1;60449600
225.46;225.46;225.46;2.218;0.85;0.85;1;1;1;60449600
226.18;226.18;226.18;2.225;0.95;0.6;1;1;1;60449600
226.59;226.59;226.59;2.229;0.9;0.75;1;1;1;60449600
226.62;226.62;226.62;2.23;0.85;0.9;1;1;1;60449600
227.57;227.57;227.57;2.239;0.95;0.65;1;1;1;60449600
227.77;227.77;227.77;2.241;0.85;0.95;1;1;1;60449600
227.86;227.86;227.86;2.242;0.9;0.8;1;1;1;60449600
228.9;228.9;228.9;2.252;0.85;1;1;1;1;60449600
228.94;228.94;228.94;2.252;0.95;0.7;1;1;1;60449600
229.11;229.11;229.11;2.254;0.9;0.85;1;1;1;60449600
229.86;229.86;229.86;2.261;1;0.6;1;1;1;60449600
230.3;230.3;230.3;2.266;0.95;0.75;1;1;1;60449600
230.34;230.34;230.34;2.266;0.9;0.9;1;1;1;60449600
231.33;231.33;231.33;2.276;1;0.65;1;1;1;60449600
231.56;231.56;231.56;2.278;0.9;0.95;1;1;1;60449600
231.63;231.63;231.63;2.279;0.95;0.8;1;1;1;60449600
232.24;232.24;139.34;1.87;0.4;0.4;5;5;3;60449600
232.76;232.76;232.76;2.29;0.9;1;1;1;1;60449600
232.77;232.77;232.77;2.29;1;0.7;1;1;1;60449600
232.95;232.95;232.95;2.292;0.95;0.85;1;1;1;60449600
234.2;234.2;234.2;2.304;1;0.75;1;1;1;60449600
234.26;234.26;234.26;2.305;0.95;0.9;1;1;1;60449600
235.55;235.55;235.55;2.317;0.95;0.95;1;1;1;60449600
235.61;235.61;235.61;2.318;1;0.8;1;1;1;60449600
236.82;236.82;236.82;2.33;0.95;1;1;1;1;60449600
237.01;237.01;237.01;2.332;1;0.85;1;1;1;60449600
238.27;397.12;79.42;1.532;0.4;0.4;3;5;1;60449600
238.38;238.38;238.38;2.345;1;0.9;1;1;1;60449600
239.75;239.75;239.75;2.359;1;0.95;1;1;1;60449600
241.09;241.09;241.09;2.372;1;1;1;1;1;60449600
244.06;244.06;146.44;1.965;0.6;0.6;5;5;3;60449600
250.41;417.34;83.47;1.61;0.6;0.6;3;5;1;60449600
261.91;261.91;157.15;2.109;0.8;0.8;5;5;3;60449600
268.72;447.86;89.57;1.728;0.8;0.8;3;5;1;60449600
282.5;282.5;94.17;1.67;0.4;0.4;3;3;1;60449600
285.85;285.85;171.51;2.302;1;1;5;5;3;60449600
293.27;488.79;97.76;1.886;1;1;3;5;1;60449600
296.89;296.89;98.96;1.755;0.6;0.6;3;3;1;60449600
318.6;318.6;106.2;1.884;0.8;0.8;3;3;1;60449600
334.94;334.94;66.99;1.417;0.4;0.4;5;5;1;60449600
347.72;347.72;115.91;2.056;1;1;3;3;1;60449600
352;352;70.4;1.489;0.6;0.6;5;5;1;60449600
377.74;377.74;75.55;1.598;0.8;0.8;5;5;1;60449600
412.26;412.26;82.45;1.744;1;1;5;5;1;60449600
