a_mm;b_mm;c_mm;t_mm;n1;n2;a_ratio;b_ratio;c_ratio;V_outer_mm3;max_vm;PackingEff;Q_total;BOR
165.21;275.35;165.21;1.876;0.4;0.4;3;5;3;60449600;2643.135986;0.9763136499;0.6159428329;2.912896876
165.29;165.29;495.86;2.092;1;0.9;1;1;3;60449600;225.1266937;0.5416246954;0.709821649;3.356865529
166.23;166.23;498.69;2.104;1;0.95;1;1;3;60449600;147.1804352;0.5324767392;0.7102041965;3.35867466
167.16;167.16;501.49;2.116;1;1;1;1;3;60449600;68.36826324;0.5236266871;0.7106607465;3.360833762
167.16;501.49;167.16;2.116;1;1;1;3;1;60449600;69.4113;0.5236266871;0.7106894323;3.360969422
171.51;285.85;285.85;2.302;1;1;3;5;5;60449600;294.7391968;0.52357682;0.6274825174;2.967469978
173.62;173.62;289.37;1.971;0.6;0.6;3;3;5;60449600;1002.78;0.8411962608;0.5940679556;2.809446915
173.62;289.37;173.62;1.971;0.6;0.6;3;5;3;60449600;1005.63;0.8411962608;0.5942649928;2.810378737
186.32;186.32;310.53;2.116;0.8;0.8;3;3;5;60449600;320.584;0.6806483786;0.5992232195;2.833827022
186.32;310.53;186.32;2.116;0.8;0.8;3;5;3;60449600;464.0230408;0.6806483786;0.5992773093;2.834082822
195.87;195.87;195.87;1.927;0.4;0.4;1;1;1;60449600;1994.6875;0.9764372602;0.5909581496;2.794740121
198.48;198.48;198.48;1.953;0.4;0.6;1;1;1;60449600;1867.73584;0.9384167778;0.5739035355;2.714085994
200.88;200.88;200.88;1.976;0.4;0.8;1;1;1;60449600;1744.737793;0.9051902586;0.5578473938;2.638153809
202.12;202.12;202.12;1.988;0.6;0.4;1;1;1;60449600;1137.062622;0.8886348944;0.5801898339;2.743814952
203.12;203.12;203.12;1.998;0.4;1;1;1;1;60449600;1611.882568;0.8755725239;0.5420626273;2.563505003
203.35;203.35;338.91;2.309;1;1;3;3;5;60449600;66.97772217;0.5235700544;0.6256842855;2.958965838
203.35;338.91;203.35;2.309;1;1;3;5;3;60449600;66.55012;0.5235700544;0.6256999463;2.9590399
205.85;205.85;205.85;2.025;0.6;0.6;1;1;1;60449600;726.5847168;0.8411949519;0.5690776596;2.691263618
206.74;206.74;206.74;2.034;0.6;0.65;1;1;1;60449600;715.5655518;0.8303748902;0.5664189442;2.678690107
207.62;207.62;207.62;2.043;0.6;0.7;1;1;1;60449600;704.0465088;0.8198569025;0.5637702725;2.666164095
208.18;208.18;208.18;2.048;0.65;0.6;1;1;1;60449600;626.677063;0.8132644124;0.5702058615;2.696599073
208.49;208.49;208.49;2.051;0.6;0.75;1;1;1;60449600;692.6040649;0.8096426923;0.5611125468;2.653595265
209.14;209.14;209.14;2.058;0.65;0.65;1;1;1;60449600;549.0441284;0.8021102033;0.5678607956;2.685508864
209.34;209.34;209.34;2.06;0.6;0.8;1;1;1;60449600;683.0874023;0.7998130677;0.5583981904;2.640758618
210.09;210.09;210.09;2.067;0.65;0.7;1;1;1;60449600;540.7340698;0.7912821111;0.5655151103;2.674415725
210.18;210.18;210.18;2.068;0.6;0.85;1;1;1;60449600;668.352478;0.7902647757;0.5556694538;2.627853965
210.7;210.7;210.7;2.073;0.7;0.6;1;1;1;60449600;533.7122803;0.7844294562;0.5722068755;2.706062204
211;211;211;2.076;0.6;0.9;1;1;1;60449600;655.9562988;0.7810877711;0.5528840648;2.614681394
211.02;211.02;211.02;2.076;0.65;0.75;1;1;1;60449600;532.1165161;0.7808678662;0.5631083072;2.66303355
211.45;211.45;211.45;2.08;0.8;0.4;1;1;1;60449600;505.3387146;0.7761161922;0.5849795515;2.766466329
211.73;211.73;211.73;2.083;0.7;0.65;1;1;1;60449600;470.5311279;0.7730384987;0.5701554629;2.69636073
211.82;211.82;211.82;2.084;0.6;0.95;1;1;1;60449600;643.8282471;0.7720523098;0.5501509828;2.601756191
211.94;211.94;211.94;2.085;0.65;0.8;1;1;1;60449600;523.1643677;0.7707436002;0.5606874617;2.651584966
212.62;212.62;212.62;2.092;0.6;1;1;1;1;60449600;633.7081299;0.7633689525;0.5473769219;2.588637192
212.75;212.75;212.75;2.093;0.7;0.7;1;1;1;60449600;410.2813416;0.7619734167;0.5681034419;2.686656379
212.85;212.85;212.85;2.094;0.65;0.85;1;1;1;60449600;513.9408569;0.7608997906;0.5582523538;2.640068933
213.42;213.42;213.42;2.1;0.75;0.6;1;1;1;60449600;445.8314209;0.7548153255;0.5751212689;2.719844859
213.74;213.74;213.74;2.103;0.65;0.9;1;1;1;60449600;504.5295715;0.7514317454;0.555756107;2.628263763
213.75;213.75;213.75;2.103;0.7;0.75;1;1;1;60449600;403.8993225;0.7513273137;0.5659855908;2.676640706
214.52;214.52;214.52;2.11;0.75;0.65;1;1;1;60449600;397.2717896;0.743271782;0.573349239;2.711464633
214.62;214.62;214.62;2.111;0.65;0.95;1;1;1;60449600;495.5052795;0.7422331377;0.5532518952;2.616420926
214.74;214.74;214.74;2.113;0.7;0.8;1;1;1;60449600;397.2497253;0.7409811166;0.5638486876;2.666534933
215.48;215.48;215.48;2.12;0.65;1;1;1;1;60449600;486.040863;0.7333761317;0.5507084569;2.60439258
215.6;215.6;215.6;2.121;0.75;0.7;1;1;1;60449600;348.9160767;0.732154074;0.5715250613;2.70283779
215.71;215.71;215.71;2.122;0.7;0.85;1;1;1;60449600;390.6083374;0.7310353996;0.5616369439;2.656075226
216.32;216.32;216.32;2.128;0.8;0.6;1;1;1;60449600;363.6409912;0.7248684974;0.5788291252;2.737379933
216.67;216.67;216.67;2.132;0.7;0.9;1;1;1;60449600;383.6036377;0.7213558899;0.5594159481;2.645571765
216.67;216.67;216.67;2.132;0.75;0.75;1;1;1;60449600;302.5652466;0.7213558899;0.5696825561;2.694124275
217.49;217.49;217.49;2.14;0.8;0.65;1;1;1;60449600;327.4257202;0.7132281237;0.5773341715;2.730310046
217.61;217.61;217.61;2.141;0.7;0.95;1;1;1;60449600;376.7073059;0.7120506124;0.5571326479;2.634773656
217.72;217.72;217.72;2.142;0.75;0.8;1;1;1;60449600;297.9118347;0.7109726946;0.5677603308;2.685033749
218.54;218.54;218.54;2.15;0.7;1;1;1;1;60449600;369.6624146;0.7030002516;0.5548515336;2.623985884
218.64;218.64;218.64;2.151;0.8;0.7;1;1;1;60449600;291.2985535;0.7020359385;0.5757722342;2.722923383
218.76;218.76;218.76;2.152;0.75;0.85;1;1;1;60449600;293.063385;0.700882993;0.5658152256;2.675835021
219.41;219.41;219.41;2.159;0.85;0.6;1;1;1;60449600;286.777832;0.6946666534;0.5833870357;2.758935055
219.78;219.78;219.78;2.162;0.8;0.75;1;1;1;60449600;255.0834656;0.6911701258;0.574187191;2.715427448
219.79;219.79;219.79;2.162;0.75;0.9;1;1;1;60449600;288.0496826;0.6910767085;0.5638513606;2.666547574
220.66;220.66;220.66;2.171;0.85;0.65;1;1;1;60449600;261.6332703;0.6829306694;0.5821979881;2.75331185
220.8;220.8;220.8;2.172;0.75;0.95;1;1;1;60449600;282.8683777;0.6816359013;0.5618261696;2.656970106
220.91;220.91;220.91;2.173;0.8;0.8;1;1;1;60449600;220.2859955;0.6806189173;0.572573596;2.707796487
221.8;221.8;221.8;2.182;0.75;1;1;1;1;60449600;277.558197;0.6724563355;0.5597990339;2.647383442
221.88;221.88;221.88;2.183;0.85;0.7;1;1;1;60449600;236.0613708;0.6717273092;0.5808907582;2.747129741
222.01;222.01;222.01;2.184;0.8;0.85;1;1;1;60449600;216.8273621;0.6705504954;0.5708315386;2.699558005
222.7;222.7;222.7;2.191;0.9;0.6;1;1;1;60449600;215.4091949;0.6643351288;0.588832289;2.784686571
223.09;223.09;223.09;2.195;0.85;0.75;1;1;1;60449600;209.9691162;0.6608556622;0.5795556453;2.740815768
223.11;223.11;223.11;2.195;0.8;0.9;1;1;1;60449600;213.1936798;0.6606796883;0.5691167996;2.691448717
223.81;223.81;223.81;2.202;1;0.4;1;1;1;60449600;129.1;0.6544989425;0.6041020861;2.8569
224.02;224.02;224.02;2.204;0.9;0.65;1;1;1;60449600;199.6081848;0.6526606258;0.5878905753;2.780233049
224.18;224.18;224.18;2.206;0.8;0.95;1;1;1;60449600;209.4002075;0.6512605121;0.5672875392;2.682797838
224.28;224.28;224.28;2.207;0.85;0.8;1;1;1;60449600;183.668335;0.6503896279;0.5781371127;2.73410729
225.25;225.25;225.25;2.216;0.8;1;1;1;1;60449600;205.942688;0.6420280057;0.5654972113;2.674331078
225.31;225.31;225.31;2.217;0.9;0.7;1;1;1;60449600;183.2479095;0.6415117609;0.5868264593;2.775200666
225.46;225.46;225.46;2.218;0.85;0.85;1;1;1;60449600;157.916748;0.640236222;0.5766816617;2.727224218
226.18;226.18;226.18;2.225;0.95;0.6;1;1;1;60449600;149.0422211;0.6341421549;0.5951167983;2.814407068
226.59;226.59;226.59;2.229;0.9;0.75;1;1;1;60449600;166.2087097;0.630706337;0.5857247492;2.769990494
226.62;226.62;226.62;2.23;0.85;0.9;1;1;1;60449600;155.3289948;0.6304500655;0.5751542503;2.720000833
227.57;227.57;227.57;2.239;0.95;0.65;1;1;1;60449600;141.302597;0.6225902936;0.5944114766;2.811071484
227.77;227.77;227.77;2.241;0.85;0.95;1;1;1;60449600;152.6695404;0.6209514221;0.5736027187;2.712663381
227.86;227.86;227.86;2.242;0.9;0.8;1;1;1;60449600;148.5207825;0.6202149978;0.5845902232;2.764625131
228.9;228.9;228.9;2.252;0.85;1;1;1;1;60449600;149.9778748;0.6118014164;0.5719928403;2.705049996
228.94;228.94;228.94;2.252;0.95;0.7;1;1;1;60449600;133.0091553;0.6114839164;0.5936249927;2.80735207
229.11;229.11;229.11;2.254;0.9;0.85;1;1;1;60449600;130.3281555;0.6101211668;0.5833639656;2.758825953
229.86;229.86;229.86;2.261;1;0.6;1;1;1;60449600;92.83;0.6041713761;0.6022933882;2.848346365
230.3;230.3;230.3;2.266;0.95;0.75;1;1;1;60449600;123.8086166;0.6007098794;0.5928054191;2.803476169
230.34;230.34;230.34;2.266;0.9;0.9;1;1;1;60449600;111.498024;0.6004000301;0.5820568133;2.752644211
231.33;231.33;231.33;2.276;1;0.65;1;1;1;60449600;89.90702057;0.5927225703;0.6018644087;2.846317649
231.56;231.56;231.56;2.278;0.9;0.95;1;1;1;60449600;109.6284714;0.590960129;0.5807264107;2.746352514
231.63;231.63;231.63;2.279;0.95;0.8;1;1;1;60449600;113.9725189;0.5904221578;0.59183819;2.79890198
232.24;232.24;139.34;1.87;0.4;0.4;5;5;3;60449600;3418.529053;0.9763332086;0.615042293;2.908638072
232.76;232.76;232.76;2.29;0.9;1;1;1;1;60449600;107.953537;0.581865594;0.5793340837;2.739767966
232.77;232.77;232.77;2.29;1;0.7;1;1;1;60449600;86.47361755;0.5817913354;0.601298633;2.843642001
232.95;232.95;232.95;2.292;0.95;0.85;1;1;1;60449600;103.0587769;0.5804420339;0.5908300795;2.794134457
234.2;234.2;234.2;2.304;1;0.75;1;1;1;60449600;83.69177246;0.5711997035;0.600690045;2.840763886
234.26;234.26;234.26;2.305;0.95;0.9;1;1;1;60449600;91.14707947;0.5707579535;0.5897860227;2.789196937
235.55;235.55;235.55;2.317;0.95;0.95;1;1;1;60449600;77.96806335;0.5614367782;0.5886604885;2.783874097
235.61;235.61;235.61;2.318;1;0.8;1;1;1;60449600;80.39;0.5610050653;0.5999840702;2.837425213
236.82;236.82;236.82;2.33;0.95;1;1;1;1;60449600;76.26200104;0.5524491234;0.5874743049;2.778264436
237.01;237.01;237.01;2.332;1;0.85;1;1;1;60449600;75.87016296;0.5511206667;0.599231968;2.833868395
238.27;397.12;79.42;1.532;0.4;0.4;3;5;1;60449600;9753.28;0.9764030187;0.7841624369;3.708435573
238.38;238.38;238.38;2.345;1;0.9;1;1;1;60449600;70.31237793;0.54167633;0.5983363146;2.8296327
239.75;239.75;239.75;2.359;1;0.95;1;1;1;60449600;63.00008774;0.5324399607;0.597462741;2.825501424
241.09;241.09;241.09;2.372;1;1;1;1;1;60449600;54.26379776;0.5236123585;0.5964664412;2.820789756
244.06;244.06;146.44;1.965;0.6;0.6;5;5;3;60449600;1311.7;0.8411945112;0.594389835;2.810969137
250.41;417.34;83.47;1.61;0.6;0.6;3;5;1;60449600;4456.2;0.8411602884;0.7722488444;3.652094198
261.91;261.91;157.15;2.109;0.8;0.8;5;5;3;60449600;424.2346802;0.6806582244;0.6001587372;2.838251242
268.72;447.86;89.57;1.728;0.8;0.8;3;5;1;60449600;1695.746094;0.6806811055;0.7944843676;3.757249713
282.5;282.5;94.17;1.67;0.4;0.4;3;3;1;60449600;7149.88;0.9763379821;0.7054339709;3.336115464
285.85;285.85;171.51;2.302;1;1;5;5;3;60449600;108.8723145;0.52357682;0.6274621979;2.967373883
293.27;488.79;97.76;1.886;1;1;3;5;1;60449600;1715.187378;0.5235969912;0.845916644;4.000481567
296.89;296.89;98.96;1.755;0.6;0.6;3;3;1;60449600;2901.32;0.8411990843;0.6902047596;3.264093972
318.6;318.6;106.2;1.884;0.8;0.8;3;3;1;60449600;988.3245239;0.6806585915;0.7056124656;3.336959596
334.94;334.94;66.99;1.417;0.4;0.4;5;5;1;60449600;15065.08984;0.9763419707;0.8547907956;4.042448917
347.72;347.72;115.91;2.056;1;1;3;3;1;60449600;676.5844727;0.5235601423;0.746937181;3.5323911
352;352;70.4;1.489;0.6;0.6;5;5;1;60449600;6350.05;0.841180496;0.84852645;4.012823777
377.74;377.74;75.55;1.598;0.8;0.8;5;5;1;60449600;2232.407227;0.6806534849;0.8797795692;4.160625015
412.26;412.26;82.45;1.744;1;1;5;5;1;60449600;2759.616699;0.5236163838;0.9438748221;4.463742207
