a_mm;b_mm;c_mm;t_mm;n1;n2;a_ratio;b_ratio;c_ratio;V_outer_mm3;max_vm;PackingEff;Q_total;BOR
94.17;282.5;282.5;1.67;0.4;0.4;1;3;3;60449600;7111.92;0.9763379821;0.7080484954;3.348479989
94.38;471.9;283.14;1.821;0.9;1;1;5;3;60449600;1479.676147;0.5818563716;0.822081652;3.887761896
94.38;471.92;283.15;1.821;1;0.7;1;5;3;60449600;1529.242065;0.58181139;0.8266428613;3.909332619
94.46;472.29;283.37;1.822;0.95;0.85;1;5;3;60449600;1455.104004;0.5804169076;0.8245257588;3.899320487
94.96;474.82;284.89;1.832;1;0.75;1;5;3;60449600;1525.397583;0.5712175521;0.8296354115;3.92348489
94.99;474.93;284.96;1.833;0.95;0.9;1;5;3;60449600;1297.710083;0.5707603805;0.8274382892;3.913094331
95.51;477.55;286.53;1.843;0.95;0.95;1;5;3;60449600;1144.511841;0.5614457795;0.8304417547;3.927298222
95.54;477.68;286.61;1.843;1;0.8;1;5;3;60449600;1533.247192;0.5609650348;0.8327446043;3.938188784
96.03;480.13;288.08;1.853;0.95;1;1;5;3;60449600;996.991333;0.552416705;0.8335279479;3.941893347
96.1;480.5;288.3;1.854;1;0.85;1;5;3;60449600;1547.32251;0.5511715886;0.835890784;3.953067595
96.66;483.3;289.98;1.865;1;0.9;1;5;3;60449600;1573.5802;0.5416456761;0.8391825269;3.968634799
97.21;486.06;291.64;1.875;1;0.95;1;5;3;60449600;1648.899902;0.5324799488;0.8425364703;3.984496159
97.76;293.27;488.79;1.886;1;1;1;3;5;60449600;1712.861;0.5235969912;0.8459690074;4.000729203
97.76;488.79;293.27;1.886;1;1;1;5;3;60449600;1769.714;0.5235969912;0.8459746968;4.000756109
98.96;296.89;296.89;1.755;0.6;0.6;1;3;3;60449600;2882.988037;0.8411990843;0.6908949096;3.267357807
102.22;102.22;919.94;1.432;0.6;1;1;1;9;60449600;101.1405258;0.7633312838;0.8884452371;4.201606411
103.59;103.59;932.33;1.451;0.65;1;1;1;9;60449600;70.33544922;0.7333996802;0.8973865728;4.243891486
105.06;105.06;945.57;1.471;0.7;1;1;1;9;60449600;64.38833618;0.7030442422;0.9073016382;4.290781492
106.2;318.6;318.6;1.884;0.8;0.8;1;3;3;60449600;982.9130249;0.6806585915;0.7057965431;3.337830129
106.63;106.63;959.65;1.493;0.75;1;1;1;9;60449600;64.35010529;0.6724798298;0.9181809076;4.34223138
108.29;108.29;974.6;1.517;0.8;1;1;1;9;60449600;64.69;0.6420095894;0.9299578741;4.397926628
110.04;110.04;990.4;1.541;0.85;1;1;1;9;60449600;78.96;0.6118389268;0.9425845018;4.457640066
111.15;111.15;778.03;1.533;0.6;1;1;1;7;60449600;120.2509384;0.7633705908;0.8221768451;3.88821208
111.9;111.9;1007.09;1.567;0.9;1;1;1;9;60449600;79.17;0.581863068;0.9562699313;4.522360756
112.64;112.64;788.51;1.554;0.65;1;1;1;7;60449600;84.83892822;0.7334231259;0.8301333647;3.925839794
113.85;113.85;1024.66;1.594;0.95;1;1;1;9;60449600;79.36;0.5524663735;0.9708158679;4.591150928
114.24;114.24;799.71;1.576;0.7;1;1;1;7;60449600;65.5177002;0.7030379467;0.8390264127;3.967896509
114.55;114.55;572.74;1.539;0.4;0.4;1;1;5;60449600;3181.658;0.9763338992;0.7797703533;3.687664674
114.55;572.74;114.55;1.539;0.4;0.4;1;5;1;60449600;3244.13;0.9763338992;0.7818178357;3.697347561
115.91;115.91;1043.15;1.623;1;1;1;1;9;60449600;64.79;0.5235544566;0.9864194854;4.66494305
115.91;347.72;347.72;2.056;1;1;1;3;3;60449600;675.91;0.5235601423;0.7469861283;3.53262258
115.95;115.95;811.62;1.599;0.75;1;1;1;7;60449600;65.47154999;0.6724469835;0.8488352732;4.014284254
117.75;117.75;824.26;1.624;0.8;1;1;1;7;60449600;65.45887756;0.6420441584;0.8594338698;4.064406793
119.66;119.66;837.62;1.651;0.85;1;1;1;7;60449600;80.83876801;0.6117878703;0.8709435252;4.118837883
120.38;120.38;601.91;1.617;0.6;0.6;1;1;5;60449600;2127.038574;0.84121777;0.7631093034;3.608871777
120.38;601.91;120.38;1.617;0.6;0.6;1;5;1;60449600;2863.79;0.84121777;0.7636202413;3.611288088
121.68;121.68;851.74;1.679;0.9;1;1;1;7;60449600;81.03742218;0.5818344831;0.8833829084;4.17766581
123.8;123.8;866.6;1.708;0.95;1;1;1;7;60449600;81.27996826;0.5524421719;0.8966475304;4.240396431
124.34;124.34;621.7;1.67;0.6;1;1;1;5;60449600;153.07;0.7633918578;0.7440671098;3.518818052
124.42;124.42;622.09;1.671;0.7;0.7;1;1;5;60449600;1493.056274;0.7619334654;0.7674643064;3.629467316
