Element,IntegrationPoint,X,Y,S11,S22,S33,S12
610,1,95.04388,79.11155,3.120865,0.8827466,2.915466,-1.7050811
611,1,94.606186,79.34678,3.135542,0.87309295,2.9323206,-1.7000388
612,1,94.16775,79.58063,3.1501188,0.8634825,2.9490697,-1.694938
613,1,93.728584,79.813095,3.164658,0.8539058,2.965731,-1.6897644
614,1,93.28869,80.04418,3.1790671,0.8444192,2.9822924,-1.6845245
615,1,92.848076,80.2739,3.1934063,0.8349716,2.9987574,-1.6792082
616,1,92.406746,80.50225,3.2076697,0.82556516,3.0151238,-1.6738243
617,1,91.964714,80.729225,3.2218523,0.8162253,3.031399,-1.6683863
618,1,91.52199,80.954834,3.2359264,0.8069431,3.0475707,-1.6628667
619,1,91.07856,81.179085,3.2499382,0.79769105,3.0636451,-1.6572855
620,1,90.63445,81.40198,3.2638657,0.7885135,3.0796292,-1.6516454
621,1,90.18967,81.623505,3.2776859,0.7793775,3.0955048,-1.6459364
622,1,89.74422,81.84368,3.2914577,0.7703043,3.1112988,-1.6401696
623,1,89.29809,82.06251,3.3051083,0.76129556,3.126987,-1.6343362
624,1,88.85131,82.27999,3.3186982,0.75231284,3.142577,-1.6284295
625,1,88.40388,82.496124,3.332209,0.7434018,3.158078,-1.6224824
626,1,87.955795,82.71091,3.345613,0.7345455,3.1734746,-1.6164699
627,1,87.50707,82.924355,3.3589442,0.72574365,3.1887789,-1.6103932
628,1,87.05772,83.136475,3.3721986,0.7169846,3.2039852,-1.6042609
629,1,86.607735,83.347244,3.3853629,0.7082841,3.219094,-1.5980614
630,1,86.157135,83.55669,3.3984354,0.6996437,3.2341063,-1.591814
631,1,85.70592,83.76481,3.4114363,0.69104654,3.2490227,-1.5855099
632,1,85.25409,83.971596,3.4243536,0.68251,3.2638452,-1.5791516
633,1,84.80165,84.177055,3.4371648,0.67404544,3.2785697,-1.5727316
634,1,84.348625,84.3812,3.4499166,0.665597,3.2931936,-1.5662568
635,1,83.895,84.58402,3.4625957,0.65721685,3.30773,-1.5597308
636,1,83.44079,84.78554,3.4751508,0.6489174,3.3221657,-1.553161
637,1,82.986,84.985725,3.4876497,0.64064217,3.3365045,-1.5465205
638,1,82.53064,85.184616,3.5000637,0.63242567,3.3507493,-1.5398333
639,1,82.07471,85.38219,3.512392,0.6242653,3.3648977,-1.5331044
640,1,81.61821,85.57846,3.5246227,0.61617064,3.3789499,-1.5263175
641,1,81.161156,85.77343,3.5367858,0.608104,3.3929036,-1.5194823
642,1,80.70355,85.967094,3.548875,0.6001019,3.4067683,-1.5125939
643,1,80.2454,86.15946,3.5608516,0.5921729,3.4205344,-1.5056665
644,1,79.786705,86.35054,3.572766,0.58427817,3.434206,-1.498679
645,1,79.32747,86.54032,3.584604,0.5764409,3.447786,-1.4916542
646,1,78.86771,86.72881,3.5963476,0.56866115,3.4612687,-1.4845773
647,1,78.407425,86.916016,3.6080084,0.5609311,3.474655,-1.4774519
648,1,77.94662,87.10193,3.6196017,0.5532522,3.4879508,-1.4702873
649,1,77.48529,87.28657,3.6310978,0.54563165,3.5011492,-1.4630716
650,1,77.02345,87.469925,3.6425116,0.5380703,3.514255,-1.4558121
651,1,76.56111,87.652,3.6538465,0.53054845,3.5272632,-1.4485047
652,1,76.09827,87.8328,3.6651075,0.52306634,3.5401754,-1.4411508
653,1,75.63493,88.01233,3.6762784,0.5156693,3.5530019,-1.4337742
654,1,75.171104,88.19058,3.6873615,0.5083211,3.5657308,-1.4263462
655,1,74.706795,88.36757,3.6983652,0.50101495,3.5783632,-1.4188515
