a_mm;b_mm;c_mm;t_mm;n1;n2;a_ratio;b_ratio;c_ratio;V_outer_mm3;max_vm;Packing eff
127.93;127.93;639.67;1.719;0.75;0.85;1;1;5;60449600;750.7506714;0.7008798823
127.33;127.33;636.63;1.71;0.75;0.8;1;1;5;60449600;966.6435547;0.7108904441
126.71;126.71;633.55;1.702;0.75;0.75;1;1;5;60449600;1187.703003;0.7213502443
126.08;126.08;630.42;1.694;0.75;0.7;1;1;5;60449600;1435.447632;0.7321887537
127.8;127.8;639.02;1.717;0.7;1;1;1;5;60449600;77.80272675;0.7030238981
127.26;127.26;636.29;1.709;0.7;0.95;1;1;5;60449600;309.9233093;0.712053756
126.71;126.71;633.53;1.702;0.7;0.9;1;1;5;60449600;547.7427368;0.7213729557
126.15;126.15;630.73;1.695;0.7;0.85;1;1;5;60449600;778.772644;0.731016063
125.58;125.58;627.89;1.687;0.7;0.8;1;1;5;60449600;1003.093018;0.741008137
125;125;625.01;1.679;0.7;0.75;1;1;5;60449600;1234.869629;0.7513497044
124.42;124.42;622.09;1.671;0.7;0.7;1;1;5;60449600;1493.056274;0.7619334654
126.01;126.01;630.07;1.693;0.65;1;1;1;5;60449600;109.89;0.7334103888
124.34;124.34;621.7;1.67;0.6;1;1;1;5;60449600;153.07;0.7633918578
97.76;488.79;293.27;1.886;1;1;1;5;3;60449600;1769.714;0.5235969912
97.21;486.06;291.64;1.875;1;0.95;1;5;3;60449600;1648.899902;0.5324799488
96.66;483.3;289.98;1.865;1;0.9;1;5;3;60449600;1573.5802;0.5416456761
96.1;480.5;288.3;1.854;1;0.85;1;5;3;60449600;1547.32251;0.5511715886
95.54;477.68;286.61;1.843;1;0.8;1;5;3;60449600;1533.247192;0.5609650348
94.96;474.82;284.89;1.832;1;0.75;1;5;3;60449600;1525.397583;0.5712175521
94.38;471.92;283.15;1.821;1;0.7;1;5;3;60449600;1529.242065;0.58181139
96.03;480.13;288.08;1.853;0.95;1;1;5;3;60449600;996.991333;0.552416705
95.51;477.55;286.53;1.843;0.95;0.95;1;5;3;60449600;1144.511841;0.5614457795
94.99;474.93;284.96;1.833;0.95;0.9;1;5;3;60449600;1297.710083;0.5707603805
94.46;472.29;283.37;1.822;0.95;0.85;1;5;3;60449600;1455.104004;0.5804169076
93.92;469.61;281.77;1.812;0.95;0.8;1;5;3;60449600;1613.864746;0.5904155745
93.38;466.9;280.14;1.802;0.95;0.75;1;5;3;60449600;1779.109741;0.6007475876
92.83;464.16;278.5;1.791;0.95;0.7;1;5;3;60449600;1443.851074;0.6114578286
94.38;471.9;283.14;1.821;0.9;1;1;5;3;60449600;1479.676147;0.5818563716
93.89;469.46;281.67;1.811;0.9;0.95;1;5;3;60449600;1429.946167;0.5910065533
93.4;466.99;280.19;1.802;0.9;0.9;1;5;3;60449600;1397.409668;0.600399598
92.9;464.49;278.69;1.792;0.9;0.85;1;5;3;60449600;1372.30957;0.6101498501
92.39;461.96;277.18;1.782;0.9;0.8;1;5;3;60449600;1419.869141;0.6202405724
91.88;459.4;275.64;1.773;0.9;0.75;1;5;3;60449600;1367.32251;0.6306538753
91.36;456.8;274.08;1.763;0.9;0.7;1;5;3;60449600;1418.27356;0.6414835272
92.82;464.08;278.45;1.791;0.85;1;1;5;3;60449600;1412.962402;0.611736594
92.36;461.78;277.07;1.782;0.85;0.95;1;5;3;60449600;1335.130859;0.6209239797
91.89;459.45;275.67;1.773;0.85;0.9;1;5;3;60449600;1328.211548;0.6304500047
91.42;457.1;274.26;1.764;0.85;0.85;1;5;3;60449600;1355.968262;0.6402229876
90.94;454.71;272.83;1.755;0.85;0.8;1;5;3;60449600;1394.367432;0.6503735095
90.46;452.29;271.38;1.745;0.85;0.75;1;5;3;60449600;1553.695313;0.6608428348
89.97;449.84;269.91;1.736;0.85;0.7;1;5;3;60449600;1719.242432;0.6716940895
91.33;456.67;274;1.762;0.8;1;1;5;3;60449600;1315.418457;0.6420690535
90.9;454.51;272.71;1.754;0.8;0.95;1;5;3;60449600;1309.292969;0.6512349192
90.47;452.33;271.4;1.745;0.8;0.9;1;5;3;60449600;1332.435913;0.6606645853
90.02;450.11;270.07;1.737;0.8;0.85;1;5;3;60449600;1441.329956;0.6705207132
89.57;447.86;268.72;1.728;0.8;0.8;1;5;3;60449600;1632.946167;0.6806811055
89.12;445.59;267.35;1.719;0.8;0.75;1;5;3;60449600;1834.548706;0.6911300857
88.66;443.28;265.97;1.71;0.8;0.7;1;5;3;60449600;2047.519165;0.701961005
89.93;449.67;269.8;1.735;0.75;1;1;5;3;60449600;1364.188843;0.6725238952
89.53;447.65;268.59;1.727;0.75;0.95;1;5;3;60449600;1324.883789;0.6816368445
89.12;445.6;267.36;1.719;0.75;0.9;1;5;3;60449600;1412.697632;0.6910889507
88.7;443.52;266.11;1.711;0.75;0.85;1;5;3;60449600;1643.855469;0.7008936883
88.28;441.41;264.85;1.703;0.75;0.8;1;5;3;60449600;1890.139893;0.7109595788
87.86;439.28;263.57;1.695;0.75;0.75;1;5;3;60449600;2138.759766;0.7213062344
87.42;437.11;262.27;1.687;0.75;0.7;1;5;3;60449600;2395.355469;0.7321411021
88.61;443.07;265.84;1.71;0.7;1;1;5;3;60449600;1436.32666;0.7030226376
88.24;441.18;264.71;1.702;0.7;0.95;1;5;3;60449600;1321.751099;0.7120313103
87.85;439.27;263.56;1.695;0.7;0.9;1;5;3;60449600;1571.25415;0.7214303427
87.47;437.33;262.4;1.687;0.7;0.85;1;5;3;60449600;1849.955688;0.7310038041
87.07;435.36;261.21;1.68;0.7;0.8;1;5;3;60449600;2146.950928;0.7410368907
86.67;433.36;260.02;1.672;0.7;0.75;1;5;3;60449600;2443.843506;0.7513193379
86.27;431.33;258.8;1.664;0.7;0.7;1;5;3;60449600;2765.329834;0.7619334342
126.03;126.03;882.23;1.739;1;1;1;1;7;60449600;65.20791626;0.5236190254
123.8;123.8;866.6;1.708;0.95;1;1;1;7;60449600;81.27996826;0.5524421719
121.68;121.68;851.74;1.679;0.9;1;1;1;7;60449600;81.03742218;0.5818344831
119.66;119.66;837.62;1.651;0.85;1;1;1;7;60449600;80.83876801;0.6117878703
117.75;117.75;824.26;1.624;0.8;1;1;1;7;60449600;65.45887756;0.6420441584
115.95;115.95;811.62;1.599;0.75;1;1;1;7;60449600;65.47154999;0.6724469835
114.24;114.24;799.71;1.576;0.7;1;1;1;7;60449600;65.5177002;0.7030379467
112.64;112.64;788.51;1.554;0.65;1;1;1;7;60449600;84.83892822;0.7334231259
111.15;111.15;778.03;1.533;0.6;1;1;1;7;60449600;120.2509384;0.7633705908
115.91;115.91;1043.15;1.623;1;1;1;1;9;60449600;64.79;0.5235544566
113.85;113.85;1024.66;1.594;0.95;1;1;1;9;60449600;79.36;0.5524663735
111.9;111.9;1007.09;1.567;0.9;1;1;1;9;60449600;79.17;0.581863068
110.04;110.04;990.4;1.541;0.85;1;1;1;9;60449600;78.96;0.6118389268
108.29;108.29;974.6;1.517;0.8;1;1;1;9;60449600;64.69;0.6420095894
106.63;106.63;959.65;1.493;0.75;1;1;1;9;60449600;64.35010529;0.6724798298
105.06;105.06;945.57;1.471;0.7;1;1;1;9;60449600;64.38833618;0.7030442422
103.59;103.59;932.33;1.451;0.65;1;1;1;9;60449600;70.33544922;0.7333996802
102.22;102.22;919.94;1.432;0.6;1;1;1;9;60449600;101.1405258;0.7633312838
