a_mm;b_mm;c_mm;t_mm;n1;n2;Q_total;h_eq;T3;T2;T1
112.64;112.64;788.51;1.554;0.65;1.0;0.8301333646607232;2.897386354266881e-09;299.9535222632895;299.9534914333014;20.000028415849844
113.85;113.85;1024.66;1.594;0.95;1.0;0.9708158678997809;2.8907250326942877e-09;299.95323282207636;299.95320182756114;20.00002906853368
114.24;114.24;799.71;1.576;0.7;1.0;0.8390264126988695;2.896598971546409e-09;299.953419106934;299.9533882161276;20.00002880863531
114.55;114.55;572.74;1.539;0.4;0.4;0.7797703532836964;2.8897148314555076e-09;299.954106562433;299.95407607387585;20.00002809631475
114.55;572.74;114.55;1.539;0.4;0.4;0.7818178356821259;2.8894358160708577e-09;299.9541071167816;299.9540766286571;20.000028093567753
115.91;115.91;1043.15;1.623;1.0;1.0;0.9864194854154902;2.889597678795449e-09;299.95311912507276;299.9530880634984;20.000029584472184
115.91;347.72;347.72;2.056;1.0;1.0;0.746986128345108;2.8639564508446943e-09;299.95187693301074;299.951845115592;20.000037133615677
115.95;115.95;811.62;1.599;0.75;1.0;0.8488352732077407;2.8957437320394804e-09;299.9533139369683;299.9532829841841;20.00002921864988
117.75;117.75;824.26;1.624;0.8;1.0;0.859433869806178;2.894840885694623e-09;299.95320773785033;299.9531767225118;20.000029664601147
119.66;119.66;837.62;1.651;0.85;1.0;0.8709435252365094;2.893882914728555e-09;299.9530999478032;299.95306886899664;20.000030146288797
120.38;120.38;601.91;1.617;0.6;0.6;0.7631093033969436;2.8938032110082415e-09;299.95359410863597;299.95356331514523;20.000029549927614
120.38;601.91;120.38;1.617;0.6;0.6;0.7636202413228469;2.893730282988368e-09;299.95359445928045;299.9535636660242;20.000029549186102
121.68;121.68;851.74;1.679;0.9;1.0;0.8833829084089245;2.8928756223420295e-09;299.9529908351154;299.9529596920854;20.000030645220946
123.8;123.8;866.6;1.708;0.95;1.0;0.8966475304132081;2.8918337392827377e-09;299.9528810099841;299.95284980233464;20.000031161536572
124.34;124.34;621.7;1.67;0.6;1.0;0.7440671098482967;2.897683427760029e-09;299.9532708996083;299.9532399137343;20.000030551365626
124.42;124.42;622.09;1.671;0.7;0.7;0.7674643064453401;2.894301308642337e-09;299.95331267821655;299.9532817181342;20.000030535838867
125.0;125.0;625.01;1.679;0.7;0.75;0.7656520105899214;2.8947106917093615e-09;299.9532699309222;299.95323894544737;20.000030685404294
125.58;125.58;627.89;1.687;0.7;0.8;0.7640060544516918;2.8950950377729443e-09;299.95322769220036;299.9531966816445;20.00003083474054
126.01;126.01;630.07;1.693;0.65;1.0;0.7507865147386736;2.8971173850188645e-09;299.95316996773937;299.95313892243587;20.00003096410541
126.03;126.03;882.23;1.739;1.0;1.0;0.9108320120372638;2.8907544041991165e-09;299.9527702821929;299.95273900941345;20.000031713592765
126.08;126.08;630.42;1.694;0.75;0.7;0.77364250024889;2.8938806267539953e-09;299.9532118586398;299.95318083911945;20.000030949757754
126.15;126.15;630.73;1.695;0.7;0.85;0.7624560627825716;2.8954629629226125e-09;299.9531862843603;299.9531552492253;20.000030983962183
126.71;126.71;633.53;1.702;0.7;0.9;0.7609923052963127;2.895815563886831e-09;299.9531457384352;299.9531146792408;20.00003111456263
126.71;126.71;633.55;1.702;0.75;0.75;0.7722713932704244;2.8942324837619617e-09;299.95316816093526;299.95313711548846;20.00003109855982
127.26;127.26;636.29;1.709;0.7;0.95;0.7596238952136887;2.8961515254292057e-09;299.9531060291668;299.95307494641787;20.00003124504165
127.33;127.33;636.63;1.71;0.75;0.8;0.7709921226037094;2.894567586356118e-09;299.95312534650884;299.9530942756685;20.000031247241143
127.8;127.8;639.02;1.717;0.7;1.0;0.7583743250431899;2.896468385671352e-09;299.9530671266178;299.9530360208019;20.00003139388908
127.86;127.86;639.32;1.718;0.8;0.7;0.7807242540527204;2.8933740920383117e-09;299.9531091071111;299.95307802705696;20.000031380714063
127.93;127.93;639.67;1.719;0.75;0.85;0.7697547808062978;2.8948927611581348e-09;299.9530836722599;299.9530525767106;20.00003141440743
128.53;128.53;642.65;1.727;0.8;0.75;0.7797163797205264;2.8936785548041846e-09;299.9530648704479;299.9530337641756;20.000031547373705
128.53;128.53;642.66;1.727;0.75;0.9;0.7686515019700284;2.895196058367305e-09;299.95304257192515;299.9530114520156;20.00003156285923
129.12;129.12;645.62;1.735;0.75;0.95;0.7676539303663872;2.8954821885792714e-09;299.9530023152203;299.95297117145947;20.000031711178284
129.19;129.19;645.93;1.735;0.8;0.8;0.7787921854225699;2.8939672743382068e-09;299.9530215698626;299.9529904379359;20.000031695416393
129.19;645.93;129.19;1.735;0.8;0.8;0.7789276066577623;2.8939489607141024e-09;299.953021695533;299.9529905636868;20.000031695219803
129.71;129.71;648.54;1.742;0.75;1.0;0.7668080748990165;2.895744623906409e-09;299.9529626500338;299.95293148278097;20.000031840756204
129.76;129.76;648.79;1.743;0.85;0.7;0.7886943322803207;2.892788758173847e-09;299.9530046912878;299.95297354975946;20.00003182873516
129.83;129.83;649.17;1.744;0.8;0.85;0.7779093524648065;2.894246061929628e-09;299.9529794217894;299.9529482649;20.000031861932364
130.46;130.46;652.32;1.753;0.85;0.75;0.7879776831030386;2.8930557038779693e-09;299.9529603181468;299.9529291503459;20.000032013358307
130.47;130.47;652.37;1.753;0.8;0.9;0.7771778668283678;2.8945018339409593e-09;299.9529378297656;299.9529066482515;20.000032028223085
131.1;131.1;655.52;1.761;0.8;0.95;0.7765220336788136;2.89474282198227e-09;299.95289715538365;299.95286594979655;20.000032175900657
131.16;131.16;655.81;1.762;0.85;0.8;0.7874158330277904;2.893299495282971e-09;299.95291657460723;299.95288538091586;20.00003217925716
131.73;131.73;658.63;1.769;0.8;1.0;0.7760245179465179;2.894959728367823e-09;299.95285706505524;299.9528258357497;20.00003232333712
131.76;131.76;658.82;1.77;0.9;0.7;0.7974130222862686;2.8921451559612656e-09;299.9528994620206;299.9528682585784;20.000032312540927
131.85;131.85;659.25;1.771;0.85;0.85;0.7869358266987962;2.893528024698653e-09;299.9528737350935;299.9528425160554;20.00003234503807
132.51;132.51;662.56;1.78;0.9;0.75;0.7971011079627333;2.892363757851894e-09;299.95285443772156;299.95282320764653;20.00003249643853
132.53;132.53;662.65;1.78;0.85;0.9;0.7865469630641246;2.8937409119795165e-09;299.95283178129813;299.95280053744625;20.000032510693863
133.2;133.2;666.0;1.789;0.85;0.95;0.7862406765291121;2.893938458481476e-09;299.95279072871597;299.9527594605917;20.00003267622777
133.25;133.25;666.26;1.79;0.9;0.8;0.7968903886930725;2.8925656790749464e-09;299.95281034042523;299.95277908427533;20.0000326801976
133.86;133.86;669.32;1.798;0.85;1.0;0.7860455040464815;2.894118569605101e-09;299.95275056443336;299.95271927257124;20.000032841612956
133.89;133.89;669.43;1.799;0.95;0.7;0.8070688549719219;2.8914281888177197e-09;299.95279271711763;299.952761450904;20.000032831817528
133.98;133.98;669.91;1.8;0.9;0.85;0.7967612391345733;2.8927526456054868e-09;299.9527671625656;299.95273588089316;20.00003286383599
134.42;134.42;672.12;1.806;1.0;0.6;0.8170058027118207;2.8903307369082047e-09;299.95278000858696;299.9527487351973;20.000032947225858
134.68;134.68;673.39;1.809;0.95;0.75;0.8071014590204039;2.89160777459284e-09;299.95274742894395;299.9527161359657;20.00003301510104
134.7;134.7;673.51;1.809;0.9;0.9;0.7967049301619212;2.892925722344253e-09;299.95272492578624;299.952693619156;20.000033028875645
135.28;135.28;676.4;1.817;1.0;0.65;0.8171970947388336;2.890505459254994e-09;299.95273214486787;299.9527008431934;20.00003314862703
135.41;135.41;677.07;1.819;0.9;0.95;0.796749575068437;2.893082367334992e-09;299.9526835620689;299.9526522310056;20.000033212261815
135.46;135.46;677.3;1.82;0.95;0.8;0.8072309290336948;2.891770888296099e-09;299.9527030644149;299.9526717452271;20.00003321672398
135.81;135.81;407.44;1.719;0.4;0.4;0.6854946400045092;2.8828762046674778e-09;299.95389392328394;299.95386330091554;20.00003133973033
135.81;407.44;135.81;1.719;0.4;0.4;0.6869767434867436;2.8826484499974536e-09;299.95389284245914;299.95386221953447;20.000031337112617
136.12;136.12;680.59;1.828;0.9;1.0;0.7969456490981714;2.8932168407522063e-09;299.9526428543358;299.95261149923556;20.000033376925703
136.13;136.13;680.63;1.829;1.0;0.7;0.8175306885933314;2.890658437754051e-09;299.9526853241298;299.9526539947981;20.000033368301864
136.23;136.23;681.16;1.83;0.95;0.85;0.8074350908214791;2.891920169326135e-09;299.9526596607365;299.95262831591555;20.000033399751466
136.96;136.96;684.81;1.84;1.0;0.75;0.8179043262914004;2.8908011682095775e-09;299.952639824633;299.9526084684347;20.000033569454025
136.99;136.99;684.97;1.84;0.95;0.9;0.8077193850406954;2.8920551218327764e-09;299.9526171801146;299.95258581021403;20.00003358265736
137.62;137.62;412.85;1.742;0.4;0.6;0.6662821562368276;2.886609554161508e-09;299.9537310686834;299.95370034860366;20.00003179551113
137.75;137.75;688.74;1.85;0.95;0.95;0.808156207846812;2.8921684439452537e-09;299.9525753338877;299.9525439392905;20.0000337653288
137.79;137.79;688.93;1.851;1.0;0.8;0.8184155880672226;2.890922905377081e-09;299.9525950212597;299.95256363861427;20.000033770380156
138.49;138.49;692.47;1.86;0.95;1.0;0.8086358553934628;2.8922721763907026e-09;299.9525346903836;299.9525032718087;20.000033947955377
138.6;138.6;693.01;1.862;1.0;0.85;0.8189611231843608;2.891036152261838e-09;299.9525514314993;299.95252002313254;20.000033971271392
139.28;139.28;417.85;1.763;0.4;0.8;0.6503366082299445;2.8899196355006656e-09;299.953577609885;299.95354679785396;20.000032210810858
139.34;232.24;232.24;1.87;0.4;0.4;0.6161073762108514;2.854282451020582e-09;299.9541984111174;299.9541679680779;20.000033815261823
139.41;139.41;697.04;1.873;1.0;0.9;0.8196454341453754;2.891129253488172e-09;299.9525085017806;299.95247706809;20.00003417193978
140.14;140.14;420.42;1.774;0.6;0.4;0.6791537399418459;2.885448936089862e-09;299.9535652532205;299.95353443541154;20.00003236170904
140.2;140.2;701.02;1.883;1.0;0.95;0.8203484554162322;2.8912151116585887e-09;299.9524668073894;299.95243534911236;20.00003435411513
140.84;140.84;422.51;1.783;0.4;1.0;0.6363216357941525;2.8929847505040313e-09;299.95342946290486;299.953398562189;20.00003260570188
140.99;140.99;704.96;1.894;1.0;1.0;0.8212182299502648;2.8912785495801623e-09;299.9524257473348;299.9523942648538;20.00003455450834
140.99;704.96;140.99;1.894;1.0;1.0;0.8212562395622347;2.891274007939347e-09;299.9524257855026;299.9523943030454;20.00003455445599
142.73;142.73;428.19;1.807;0.6;0.6;0.6667112029409766;2.8883604711554824e-09;299.95338029371794;299.95334936558817;20.000032991919458
142.73;428.19;142.73;1.807;0.6;0.6;0.6670868678565472;2.888298627711652e-09;299.9533801993183;299.9533492711556;20.000032991186682
143.35;143.35;430.05;1.815;0.6;0.65;0.664133669822318;2.888999290860609e-09;299.95333634210317;299.95330538778995;20.00003314406576
143.96;143.96;431.87;1.822;0.6;0.7;0.6616516327625684;2.889619167991762e-09;299.95329310530315;299.95326212524;20.00003327755112
144.35;144.35;433.04;1.827;0.65;0.6;0.6690968416681841;2.8885189744479235e-09;299.9532846674266;299.95325368275667;20.000033356266886
144.56;144.56;433.67;1.83;0.6;0.75;0.6592810359270966;2.890220529789477e-09;299.95325040989707;299.9532194044148;20.00003342940819
145.01;145.01;435.04;1.836;0.65;0.65;0.6668393632569508;2.8891118336551865e-09;299.9532399723476;299.9532089610856;20.00003352631041
145.15;145.15;435.44;1.837;0.6;0.8;0.6569820962174134;2.8908078660685976e-09;299.9532083257115;299.95317729518075;20.000033562646188
145.67;145.67;437.01;1.844;0.65;0.7;0.6647367335448157;2.8896775231046582e-09;299.9531957462992;299.9531647087347;20.000033677572503
145.73;145.73;437.19;1.845;0.6;0.85;0.6547736757117166;2.8913795204553285e-09;299.9531667611705;299.9531357059079;20.000033714289025
146.09;146.09;438.28;1.849;0.7;0.6;0.67225817868049;2.8885841516997052e-09;299.9531869416644;299.95315589927566;20.00003375615091
146.3;146.3;438.9;1.852;0.6;0.9;0.6526155535241284;2.891938647937183e-09;299.95312585015216;299.9530947705522;20.00003384732707
146.32;146.32;438.95;1.852;0.65;0.75;0.6627230240762654;2.890225812426819e-09;299.9531521590253;299.9531210955464;20.00003382869785
146.44;244.06;244.06;1.965;0.6;0.6;0.5946720928684874;2.8609049189147336e-09;299.95369980895157;299.95366906778526;20.000035601408282
146.61;146.61;439.84;1.856;0.8;0.4;0.6879004415035401;2.886289007604317e-09;299.95318404099817;299.95315299766395;20.000033857584363
146.81;146.81;440.43;1.858;0.7;0.65;0.670410809955435;2.8891185876370235e-09;299.95314112942106;299.9531100598123;20.0000339253692
146.87;146.87;440.6;1.859;0.6;0.95;0.6506021812146123;2.8924744781052697e-09;299.953085246159;299.9530541424136;20.00003398012712
146.95;146.95;440.86;1.86;0.65;0.8;0.6607376166210122;2.890765774521654e-09;299.9531094188503;299.95307832996656;20.00003397981209
147.42;147.42;442.26;1.866;0.6;1.0;0.6486062016013661;2.893002207677108e-09;299.9530455455819;299.95301441823307;20.00003411292149
147.51;147.51;442.54;1.867;0.7;0.7;0.6686126783481104;2.8896393216079703e-09;299.9530962982885;299.9530652020504;20.00003409452137
147.58;147.58;442.74;1.868;0.65;0.85;0.6588682683978152;2.8912841700503444e-09;299.9530670586739;299.95303594461967;20.00003413071434
147.97;147.97;443.92;1.873;0.75;0.6;0.6762899237236001;2.888545412803937e-09;299.9530869005566;299.95305579914327;20.000034191353574
148.2;148.2;444.59;1.876;0.65;0.9;0.6570664342031354;2.8917880759299866e-09;299.95302531875126;299.9529941799021;20.000034281508572
148.21;148.21;444.62;1.876;0.7;0.75;0.6669488831724106;2.8901354138962892e-09;299.95305190488085;299.9530207822835;20.000034263426606
148.74;148.74;446.21;1.883;0.75;0.65;0.6747832640241992;2.8890300508249107e-09;299.9530403381762;299.9530092091305;20.000034378368102
148.81;148.81;446.42;1.884;0.65;0.95;0.6553478589854421;2.8922761738057533e-09;299.9529841810444;299.9529530177657;20.000034432175422
148.89;148.89;446.67;1.885;0.7;0.8;0.665311649016553;2.8906227424381573e-09;299.9530083815041;299.9529772330706;20.0000344323133
149.41;149.41;448.22;1.891;0.65;1.0;0.6536988569233639;2.8927489032641825e-09;299.95294372930135;299.95291254200754;20.000034564194948
149.49;149.49;448.47;1.892;0.75;0.7;0.6733318880024808;2.889500889251051e-09;299.9529947661522;299.9529636100707;20.000034546797075
149.56;149.56;448.69;1.893;0.7;0.85;0.6637359720790941;2.8910961473654757e-09;299.95296551756485;299.952934343694;20.000034582577275
149.99;149.99;449.96;1.899;0.8;0.6;0.6811756591696547;2.8884078827892415e-09;299.95298485704933;299.9529536954887;20.00003466187997
150.23;150.23;450.68;1.902;0.7;0.9;0.6622784647720126;2.8915470517673044e-09;299.9529230535672;299.9528918545051;20.00003475113062
150.23;150.23;450.69;1.902;0.75;0.75;0.6719586147686687;2.889953613742487e-09;299.95294989766035;299.95291871496903;20.00003473358693
150.8;150.8;452.4;1.909;0.8;0.65;0.6799572915712812;2.888851617218093e-09;299.9529378645012;299.9529066750843;20.000034848286987
150.88;150.88;452.65;1.91;0.7;0.95;0.6608512185735841;2.8919896387897216e-09;299.95288145887605;299.9528502351451;20.000034901142424
150.96;150.96;452.88;1.911;0.75;0.8;0.6706515080373936;2.8903913533986754e-09;299.95290572041404;299.95287451153087;20.000034901744822
151.53;151.53;454.58;1.918;0.7;1.0;0.6595308311070828;2.892409631657465e-09;299.95284036573594;299.9528091176419;20.000035050923728
151.6;151.6;454.8;1.919;0.8;0.7;0.6788329004504223;2.8892744662840964e-09;299.9528916716639;299.95286045487455;20.000035034509022
151.68;151.68;455.05;1.92;0.75;0.85;0.6694235398034893;2.890813469702607e-09;299.9528621702165;299.9528309355218;20.00003506976901
152.13;152.13;456.4;1.926;0.85;0.6;0.686799901574599;2.8881910255283997e-09;299.952881571376;299.9528503489913;20.000035149448554
152.39;152.39;457.17;1.929;0.8;0.75;0.6777925985997301;2.8896793653260496e-09;299.95284619569173;299.952814951964;20.00003522057288
152.39;152.39;457.18;1.929;0.75;0.9;0.6682472760473646;2.8912213594712386e-09;299.95281932161294;299.9527880615296;20.000035237681928
152.99;152.99;458.98;1.937;0.85;0.65;0.6858979457835559;2.8885890243638873e-09;299.9528340392159;299.9528027886855;20.000035353656912
153.09;153.09;459.28;1.938;0.75;0.95;0.6671389790795282;2.8916137765625848e-09;299.9527771552242;299.9527458701643;20.000035405464516
153.17;153.17;459.5;1.939;0.8;0.8;0.6768096938728078;2.8900690309519965e-09;299.9528014458479;299.9527701756199;20.000035406511472
153.17;459.5;153.17;1.939;0.8;0.8;0.6769106783426688;2.890052929896094e-09;299.95280145824074;299.95277018802574;20.000035406310154
153.78;153.78;461.35;1.947;0.75;1.0;0.6661045104493711;2.891989664532439e-09;299.9527356930635;299.9527043834521;20.000035573103602
153.84;153.84;461.53;1.948;0.85;0.7;0.685102341713015;2.88896555680933e-09;299.9527872952277;299.95275601702906;20.00003555766335
153.94;153.94;461.81;1.949;0.8;0.85;0.6759046357517233;2.890443049854018e-09;299.9527573473383;299.9527260510045;20.000035592310848
154.41;154.41;463.24;1.955;0.9;0.6;0.6932488043669878;2.8878862446659623e-09;299.9527768645776;299.952745580585;20.000035672361527
154.68;154.68;464.05;1.958;0.85;0.75;0.6843837243391194;2.8893250231909598e-09;299.952741313519;299.9527100081127;20.000035743013296
154.69;154.69;464.08;1.958;0.8;0.9;0.6749992187341577;2.8908101635491894e-09;299.9527141998141;299.95268287794386;20.000035759595242
155.18;155.18;465.54;1.964;1.0;0.4;0.710086567368279;2.8856298141400442e-09;299.9527716227606;299.95274033640266;20.000035809307377
155.32;155.32;465.97;1.966;0.9;0.65;0.692658927643927;2.8882410650339384e-09;299.9527288867177;299.952697574345;20.00003587587613
155.44;155.44;466.32;1.968;0.8;0.95;0.6742122178290909;2.891154462920107e-09;299.95267152495757;299.95264017783956;20.00003594514159
